sort_order,display_label,indent_level,tier1_filter,tier_match_value
1,ACTIVE CASES,0,ACTIVE CASES,
2,  In Process - Investigating,1,ACTIVE CASES,In Process - Investigating
3,  Waiting For Reply From Insurance,1,ACTIVE CASES,Waiting For Reply From Insurance
4,    Found,2,ACTIVE CASES,Found
5,    Not Found / Potential Claim,2,ACTIVE CASES,Not Found / Potential Claim
6,    Not In Network,2,ACTIVE CASES,Not In Network
7,CLOSED CASES,0,CLOSED CASES,
8,  Found And Returned,1,CLOSED CASES,Found And Returned
9,    Carrier Picked Up,2,CLOSED CASES,Carrier Picked Up
10,    Found -Sent To Towing Yard,2,CLOSED CASES,Found -Sent To Towing Yard
11,    Found - Recovered,2,CLOSED CASES,Found - Recovered
12,    Not Liable Due To No Response,2,CLOSED CASES,Not Liable Due To No Response
13,  Not Found,1,CLOSED CASES,Not Found
14,    Not Liable,2,CLOSED CASES,Not Liable
15,    Liable,2,CLOSED CASES,Liable
16,RE-OPEN CLAIMS,0,RE-OPEN CLAIMS,
